model,filename,name,response,classification
gemini,Google.png,Google,"Google
",True
gemini,HRC elektron.png,HRC elektron,HRC elektron,True
gemini,PAGO.png,PAGO,PAGO,True
gemini,AT&T.png,AT&T,AT&T,True
gemini,Amazon.png,Amazon,Amazon,True
gemini,American Express.png,American Express,American Express,True
gemini,Apple.png,Apple,"Apple
",True
gemini,Bank of America.png,Bank of America,Bank of America,True
gemini,Bitcoin.png,Bitcoin,Bitcoin,True
gemini,Blue Style.png,Blue Style,Blue Style,True
gemini,Capital One.png,Capital One,Capital One Bank,True
gemini,Chase.png,Chase,CHASE,True
gemini,Costco Wholesale.png,Costco Wholesale,COSTCO,False
gemini,DHL.png,DHL,DHL,True
gemini,Discover.png,Discover,DISCOVER,True
gemini,ExxonMobil.png,ExxonMobil,ExxonMobil,True
gemini,Facebook.png,Facebook,"Facebook
",True
gemini,FedEx.png,FedEx,FedEx,True
gemini,JPMorganChase.png,JPMorganChase,JPMorgan Chase & Co.,False
gemini,Kroger.png,Kroger,Kroger,True
gemini,Mastercard.png,Mastercard,"Mastercard
",True
gemini,McDonalds.png,McDonalds,McDonald's,False
gemini,McKesson.png,McKesson,McKesson,True
gemini,Microsoft.png,Microsoft,Microsoft,True
gemini,Nike.png,Nike,"NIKE
",True
gemini,Nurel Group.png,Nurel Group,Nurel Group,True
gemini,P&G.png,P&G,P&G,True
gemini,PayPal.png,PayPal,PayPal,True
gemini,Regions.png,Regions,REGIONS,True
gemini,State Farm.png,State Farm,State Farm,True
gemini,SunTrust.png,SunTrust,SunTrust,True
gemini,Target.png,Target,"TARGET
",True
gemini,The Home Depot.png,The Home Depot,The Home Depot,True
gemini,UPS.png,UPS,UPS,True
gemini,United Healthcare.png,United Healthcare,UnitedHealthcare,False
gemini,VISA.png,VISA,"VISA Debit
",True
gemini,WeChat.png,WeChat,WeChat,True
gemini,Wells Fargo.png,Wells Fargo,Wells Fargo,True
gemini,ExxonMobil.Noise2.png,ExxonMobil,ExxonMobil,True
gemini,ExxonMobil.Noise3.png,ExxonMobil,ExxonMobil,True
gemini,ExxonMobil.Noise4.png,ExxonMobil,ExxonMobil,True
gemini,Facebook.Noise1.png,Facebook,"Facebook
",True
gemini,Facebook.Noise2.png,Facebook,"Facebook
",True
gemini,Facebook.Noise3.png,Facebook,"Facebook
",True
gemini,Facebook.Noise4.png,Facebook,Facebook,True
gemini,FedEx.Noise1.png,FedEx,FedEx,True
gemini,FedEx.Noise2.png,FedEx,FedEx,True
gemini,FedEx.Noise3.png,FedEx,FedEx,True
gemini,FedEx.Noise4.png,FedEx,FedEx,True
gemini,Google.Noise1.png,Google,"Google
",True
gemini,Google.Noise2.png,Google,"Google
",True
gemini,Google.Noise3.png,Google,"Google
",True
gemini,Google.Noise4.png,Google,"Google
",True
gemini,HRC elektron.Noise1.png,HRC elektron,HRC elektron,True
gemini,HRC elektron.Noise2.png,HRC elektron,HRC elektron,True
gemini,HRC elektron.Noise3.png,HRC elektron,HRC elektron,True
gemini,HRC elektron.Noise4.png,HRC elektron,HRC elektron,True
